feature,importance
max_favorable_excursion,0.8678670632145085
risk_multiplier,0.5792262583910436
ml_threshold,0.5635483033593933
max_adverse_excursion,0.3568286604621708
rr_ratio,0.04598875899485178
atr_ratio,0.032290983417371216
volume_ratio,0.026799270975569608
weekday,0.023387182568437453
bos_detected,0.019772891283684032
ml_probability,0.019321177533904953
ema_slow,0.018959706189532858
ema_fast,0.0189591202690277
trend_confidence,0.01841223922416728
fvg_detected,0.01651155483460916
rsi,0.015272581024531391
tp_distance,0.014667406924878786
sl_distance,0.014667406924878784
atr,0.014667406924878782
rsi_slope,0.013194604860873585
ema_distance,0.010664922304594144
order_block_detected,0.003736413008286342
candle_range_vs_atr,0.0037282266708384337
ema_slope,0.003713129797589619
momentum_strength,0.0024538775439269136
bos_strength,0.0010344627763165383
timestamp,0.0
symbol,0.0
fvg_size,0.0
choch_strength,0.0
choch_detected,0.0
session,0.0
direction,0.0
displacement_strength,0.0
h4_bias,0.0
trend_alignment,0.0
volatility_regime,0.0
d1_bias,0.0
liquidity_sweep,0.0
ob_distance,0.0
spread,0.0
expected_hold_bars,0.0
governor_mode,0.0
market_regime,0.0
