year_month,trades,winrate,profit_factor,expectancy,max_drawdown,total_r
2024-09,15,0.6,1.5814,0.2326,-3.0,3.488
2024-10,63,0.4921,2.1467,0.4562,-9.474,28.743
2024-11,99,0.4545,1.6075,0.2332,-11.433,23.086
2024-12,69,0.4783,2.5127,0.6179,-13.277,42.632
2025-01,90,0.3111,0.4995,-0.3082,-40.731,-27.741
2025-02,51,0.3922,1.4854,0.2264,-10.159,11.546
2025-03,75,0.4133,1.2669,0.129,-11.08,9.671
2025-04,78,0.4103,1.2541,0.1422,-16.797,11.089
2025-05,63,0.4603,1.8599,0.3578,-10.193,22.541
2025-06,48,0.5208,2.1109,0.4624,-6.0,22.196
2025-07,108,0.5648,3.1959,0.7116,-7.3,76.848
2025-08,102,0.3529,0.9776,-0.0118,-19.657,-1.2
2025-09,108,0.4907,2.1501,0.4907,-11.608,52.995
2025-10,111,0.4324,1.6575,0.3319,-17.0,36.84
2025-11,63,0.3175,0.7209,-0.1692,-26.187,-10.662
2025-12,123,0.3577,1.576,0.3048,-13.177,37.496
2026-01,75,0.4267,1.4651,0.2168,-12.683,16.258
2026-02,114,0.5088,1.6912,0.3034,-12.786,34.59
2026-03,87,0.4713,1.8591,0.4237,-19.505,36.861
2026-04,99,0.3232,1.0287,0.0168,-30.92,1.664
2026-05,135,0.437,1.7228,0.3154,-12.351,42.573
