metric,baseline_with_rsi,experimental_without_rsi,abs_diff_no_rsi_minus_base,pct_diff_no_rsi_minus_base
valid_count,768.0,844.0,76.0,9.895833333333332
invalid_count,411.0,474.0,63.0,15.328467153284672
valid_rate,0.00256,0.0028133333333333335,0.0002533333333333333,9.89583333333333
signed_return_1,0.07329087548948543,0.06420080479994493,-0.0090900706895405,-12.40273175730394
signed_return_3,0.11270156332284346,0.10637899492889791,-0.006322568393945557,-5.610009486588938
signed_return_5,0.17784327339156447,0.1768059226470138,-0.0010373507445506636,-0.5832949004861645
signed_return_10,0.3912471220065377,0.40526843561706766,0.01402131361052994,3.583748690244843
signed_return_20,0.6394062019047143,0.6025279776423496,-0.036878224262364756,-5.767573750850235
mfe_r_10,2.236319313331086,2.2150539837200163,-0.02126532961106964,-0.950907568713615
continuity_10,0.5442708333333334,0.5485781990521327,0.004307365718799305,0.7914011655592981
post_structure_break_10,0.46484375,0.4514218009478673,-0.013421949052132676,-2.8874108885260212
pullback_score_mean,37.817265044029114,37.787320754321115,-0.02994428970799845,-0.07918153169758713
